pcode,N damaged,P damaged,N houses,Wind speed,Distance to typhoon,Poverty incidence,p strong roof,p strong wall,Experience,Region
PH012823000,1,0.000124146,8055.000023,40,192.7028796,0.1343,0.990111892,0.909966172,3.262295082,north luzon
PH012919000,1,0.000513677,1946.750002,40,273.226544,0.1608,0.975250442,0.930465527,2.068965517,north luzon
PH012920000,1,0.000151452,6602.749993,40,258.981621,0.1612,0.97057389,0.828158023,2.068965517,north luzon
PH012921000,20,0.006270575,3189.5,40,276.7529894,0.1382,0.976095618,0.921405288,2.068965517,north luzon
PH020903000,44,0.132629992,331.75,70,73.80857644,0.1643,0.918767507,0.910364146,1,minandao
PH021505000,15,0.000913951,16412.25,53.67349233,117.6744952,0.2185,0.874719711,0.702278481,3.216216216,north luzon
PH021507000,8,0.000932972,8574.750004,50,134.2771767,0.1791,0.808227769,0.688197667,3.216216216,north luzon
PH021510000,4,0.000641977,6230.749992,50,130.9240334,0.1706,0.960245216,0.697009103,3.216216216,north luzon
PH021511000,1,0.000133685,7480.249999,47.12334142,150.3550086,0.1458,0.801322599,0.822886717,3.216216216,north luzon
PH021522000,12,0.001955911,6135.250001,49.99007888,141.8435274,0.1723,0.779048981,0.813728995,3.216216216,north luzon
PH021523000,5,0.000607792,8226.499999,61.22289889,99.89645285,0.2062,0.881233001,0.70995727,3.216216216,north luzon
PH021524000,5,0.004814636,1038.5,42.15043972,161.1323367,0.1748,0.691836735,0.717346939,3.216216216,north luzon
PH021525000,1,0.000210106,4759.499991,50,127.0422232,0.1615,0.921298459,0.748248482,3.216216216,north luzon
PH021528000,12,0.000780044,15383.75007,40,198.1932352,0.1793,0.935514847,0.72872969,3.216216216,north luzon
PH143201000,10,0.003280033,3048.75,40,229.1723156,0.3391,0.961321165,0.23902651,4.28,north luzon
PH143209000,1,0.000124899,8006.499997,40,214.3609893,0.3192,0.833972515,0.356024289,4.28,north luzon
PH148101000,1,0.00031736,3151,40.32871975,170.7222468,0.6258,0.920654912,0.3736356,4.214285714,north luzon
PH148102000,1,0.000153545,6512.749999,40,203.2010267,0.5631,0.920051226,0.476765459,4.214285714,north luzon
PH045620000,1,5.79E-05,17269.74934,40,101.3415858,0.1368,0.773829354,0.646554383,1.72,metro luzon
PH051705000,2,0.000103704,19285.75002,60,67.02146938,0.3407,0.660107004,0.541497602,2.104477612,central
PH051708000,1,4.82E-05,20758.25003,60,74.06204117,0.3338,0.595362489,0.555855591,2.104477612,central
PH051711000,3,0.000252074,11901.25,50,120.1690579,0.4623,0.491395019,0.396740231,2.104477612,central
PH051714000,131,0.019400222,6752.499999,50,112.4482245,0.5606,0.236160188,0.347467609,2.104477612,central
PH051729000,13,0.002476662,5249,50,108.6131314,0.4881,0.527736503,0.478207033,2.104477612,central
PH051734000,1,6.17E-05,16213.74997,60.16866216,61.47673656,0.3362,0.712514846,0.500148456,2.104477612,central
PH051735000,9,0.002026571,4441.000005,50.08658698,102.1406015,0.5806,0.309409888,0.365497076,2.104477612,central
PH052008000,3,0.000326273,9194.749915,48.92753254,123.3701614,0.2993,0.731624379,0.610776877,1.875,central
PH054101000,27,0.001253366,21542,77.41561422,35.50740271,0.4325,0.602981746,0.395680498,1.866666667,central
PH054102000,9,0.001379522,6523.999998,80.07230935,29.10309736,0.4322,0.490919304,0.379516944,1.866666667,central
PH054104000,18,0.004772637,3771.5,80,13.47276955,0.4607,0.291051018,0.297741846,1.866666667,central
PH054107000,15,0.001373218,10923.25,82.17693785,1.820280177,0.5236,0.381389253,0.28310951,1.866666667,central
PH054110000,72,0.006979788,10315.5,67.48369622,57.39129775,0.4469,0.628381476,0.359009629,1.866666667,central
PH054111000,21,0.000880605,23847.24999,80.5211495,32.0947608,0.2218,0.842662474,0.415395902,1.866666667,central
PH054112000,34,0.002366329,14368.25,77.16933055,46.53329164,0.4957,0.607395751,0.375032783,1.866666667,central
PH054113000,93,0.009584418,9703.25,81.14342433,31.07728682,0.435,0.586323015,0.367180417,1.866666667,central
